title,amazon_author,amazon_rating,amazon_num_reviews,amazon_price,amazon_year,amazon_genre,conlit_genre,conlit_pubdate,conlit_author_gender,conlit_author_nationality,conlit_total_ratings,goodreads_rating,goodreads_series,goodreads_genres,goodreads_edition,goodreads_publisher,goodreads_publish_date,goodreads_first_publish_date,goodreads_awards,goodreads_num_ratings,goodreads_likedPercent,goodreads_price,nyt_published_date,nyt_list_name_encoded,nyt_price,nyt_weeks_on_list
"Eat to Live: The Amazing Nutrient-Rich Program for Fast and Sustained Weight Loss, Revised Edition",Joel Fuhrman MD,4.5,6346,9,2011-01-01,Non Fiction,,,,,,4.13,,"['Health', 'Nonfiction', 'Food', 'Nutrition', 'Self Help', 'Cookbooks', 'Vegan', 'Cooking', 'Diets', 'Reference']",,Little Brown and Company,2005-01-01,2003-10-30,[],13471.0,94.0,5.66,,,,
"Eat to Live: The Amazing Nutrient-Rich Program for Fast and Sustained Weight Loss, Revised Edition",Joel Fuhrman MD,4.5,6346,9,2012-01-01,Non Fiction,,,,,,4.13,,"['Health', 'Nonfiction', 'Food', 'Nutrition', 'Self Help', 'Cookbooks', 'Vegan', 'Cooking', 'Diets', 'Reference']",,Little Brown and Company,2005-01-01,2003-10-30,[],13471.0,94.0,5.66,,,,
Eclipse (Twilight),Stephenie Meyer,4.7,5505,18,2009-01-01,Fiction,,,,,,3.7,The Twilight Saga #3,"['Young Adult', 'Fantasy', 'Romance', 'Vampires', 'Fiction', 'Paranormal', 'Paranormal Romance', 'Supernatural', 'Werewolves', 'Teen']",First Edition,"Little, Brown and Company",2007-08-07,,"['Colorado Blue Spruce Young Adult Book Award (2009)', 'Teen Buckeye Book Award (2008)']",1424531.0,82.0,3.11,2010-01-03,series-books,0.0,124.0
Educated: A Memoir,Tara Westover,4.7,28729,15,2018-01-01,Non Fiction,,,,,,4.47,,"['Nonfiction', 'Memoir', 'Biography', 'Audiobook', 'Biography Memoir', 'Autobiography', 'Book Club', 'Adult', 'Education', 'Religion']",,Random House,2018-02-20,,"['Audie Award for Best Female Narrator (2019)', 'Los Angeles Times Book Prize Nominee for Biography (2018)', 'ALA Alex Award (2019)', 'Wellcome Book Prize Nominee for Longlist (2019)', 'National Book Critics Circle Award Nominee for Autobiography (2018)', 'Goodreads Choice Award for Memoir & Autobiography (2018)', 'PEN/Jean Stein Book Award Nominee for Shortlist (2019)', 'Reading Women Award for Nonfiction (2018)']",796019.0,98.0,5.42,2019-12-29,hardcover-nonfiction,0.0,95.0
Educated: A Memoir,Tara Westover,4.7,28729,15,2019-01-01,Non Fiction,,,,,,4.47,,"['Nonfiction', 'Memoir', 'Biography', 'Audiobook', 'Biography Memoir', 'Autobiography', 'Book Club', 'Adult', 'Education', 'Religion']",,Random House,2018-02-20,,"['Audie Award for Best Female Narrator (2019)', 'Los Angeles Times Book Prize Nominee for Biography (2018)', 'ALA Alex Award (2019)', 'Wellcome Book Prize Nominee for Longlist (2019)', 'National Book Critics Circle Award Nominee for Autobiography (2018)', 'Goodreads Choice Award for Memoir & Autobiography (2018)', 'PEN/Jean Stein Book Award Nominee for Shortlist (2019)', 'Reading Women Award for Nonfiction (2018)']",796019.0,98.0,5.42,2019-12-29,hardcover-nonfiction,0.0,95.0
Fahrenheit 451,Ray Bradbury,4.6,10721,8,2016-01-01,Fiction,,,,,,3.99,,"['Classics', 'Fiction', 'Science Fiction', 'Dystopia', 'School', 'Literature', 'Novels', 'Fantasy', 'Adult', 'Science Fiction Fantasy']",60th Anniversary Edition,Simon & Schuster,2011-11-29,2053-10-19,"['Prometheus Hall of Fame Award (1984)', 'Geffen Award for Best Translated SF Book (2002)', 'California Book Award for Fiction (Silver) (1953)', 'Retro Hugo Award for Best Novel (2004)']",1680139.0,92.0,,,,,
Fahrenheit 451,Ray Bradbury,4.6,10721,8,2018-01-01,Fiction,,,,,,3.99,,"['Classics', 'Fiction', 'Science Fiction', 'Dystopia', 'School', 'Literature', 'Novels', 'Fantasy', 'Adult', 'Science Fiction Fantasy']",60th Anniversary Edition,Simon & Schuster,2011-11-29,2053-10-19,"['Prometheus Hall of Fame Award (1984)', 'Geffen Award for Best Translated SF Book (2002)', 'California Book Award for Fiction (Silver) (1953)', 'Retro Hugo Award for Best Novel (2004)']",1680139.0,92.0,,,,,
Fantastic Beasts and Where to Find Them: The Original Screenplay (Harry Potter),J.K. Rowling,4.7,4370,15,2016-01-01,Fiction,,,,,,4.24,Fantastic Beasts: The Original Screenplay #1,"['Fantasy', 'Fiction', 'Young Adult', 'Magic', 'Plays', 'Adventure', 'Historical Fiction', 'Middle Grade', 'Childrens', 'Young Adult Fantasy']",,Arthur A. Levine Books,2016-11-18,,['Goodreads Choice Award for Fantasy (2017)'],122486.0,95.0,3.32,2017-03-12,series-books,0.0,414.0
Fifty Shades Trilogy (Fifty Shades of Grey / Fifty Shades Darker / Fifty Shades Freed),E L James,4.5,13964,32,2012-01-01,Fiction,,,,,,4.11,Fifty Shades #1-3,"['Romance', 'Erotica', 'Fiction', 'BDSM', 'Adult', 'Contemporary', 'Erotic Romance', 'Contemporary Romance', 'Chick Lit', 'Love']",,Vintage,2012-04-17,2005-12-15,[],114200.0,88.0,,2015-03-08,e-book-fiction,0.0,27.0
Fire and Fury: Inside the Trump White House,Michael Wolff,4.2,13677,6,2018-01-01,Non Fiction,,,,,,3.44,,"['Nonfiction', 'Politics', 'History', 'Audiobook', 'Biography', 'American History', 'Unfinished', 'Presidents', 'Journalism', 'American']",,Henry Holt and Co.,2018-01-05,,[],71315.0,84.0,4.1,2018-05-06,hardcover-nonfiction,0.0,16.0
"Girl, Wash Your Face: Stop Believing the Lies About Who You Are So You Can Become Who You Were Meant to Be",Rachel Hollis,4.6,22288,12,2018-01-01,Non Fiction,,,,,,3.7,,"['Nonfiction', 'Self Help', 'Audiobook', 'Personal Development', 'Memoir', 'Christian', 'Adult', 'Inspirational', 'Biography', 'Unfinished']",,Thomas Nelson,2018-02-06,,['Goodreads Choice Award Nominee for Nonfiction (2018)'],178777.0,83.0,3.08,,,,
"Girl, Wash Your Face: Stop Believing the Lies About Who You Are So You Can Become Who You Were Meant to Be",Rachel Hollis,4.6,22288,12,2019-01-01,Non Fiction,,,,,,3.7,,"['Nonfiction', 'Self Help', 'Audiobook', 'Personal Development', 'Memoir', 'Christian', 'Adult', 'Inspirational', 'Biography', 'Unfinished']",,Thomas Nelson,2018-02-06,,['Goodreads Choice Award Nominee for Nonfiction (2018)'],178777.0,83.0,3.08,,,,
Go the F**k to Sleep,Adam Mansbach,4.8,9568,9,2011-01-01,Fiction,,,,,,4.27,,"['Humor', 'Fiction', 'Picture Books', 'Childrens', 'Comedy', 'Audiobook', 'Parenting', 'Poetry', 'Adult', 'Short Stories']",,Akashic Books,2011-12-06,2011-10-29,['Goodreads Choice Award Nominee for Humor (2011)'],84314.0,94.0,,,,,
Going Rogue: An American Life,Sarah Palin,4.6,1636,6,2009-01-01,Non Fiction,,,,,,3.28,,"['Biography', 'Nonfiction', 'Politics', 'Autobiography', 'Memoir', 'History', 'Biography Memoir', 'Government', 'The United States Of America', 'Science']",1st Edition,Harper,2009-11-17,2009-01-01,[],11396.0,74.0,3.36,2010-02-07,hardcover-nonfiction,28.99,10.0
Good to Great: Why Some Companies Make the Leap and Others Don't,Jim Collins,4.5,3457,14,2009-01-01,Non Fiction,,,,,,4.11,,"['Business', 'Leadership', 'Nonfiction', 'Self Help', 'Buisness', 'Management', 'Personal Development', 'Entrepreneurship', 'Audiobook', 'Finance']",,Harper Business,2001-10-16,,['Audie Award for Business/Educational (2006)'],131456.0,95.0,9.91,,,,
Good to Great: Why Some Companies Make the Leap and Others Don't,Jim Collins,4.5,3457,14,2010-01-01,Non Fiction,,,,,,4.11,,"['Business', 'Leadership', 'Nonfiction', 'Self Help', 'Buisness', 'Management', 'Personal Development', 'Entrepreneurship', 'Audiobook', 'Finance']",,Harper Business,2001-10-16,,['Audie Award for Business/Educational (2006)'],131456.0,95.0,9.91,,,,
Good to Great: Why Some Companies Make the Leap and Others Don't,Jim Collins,4.5,3457,14,2011-01-01,Non Fiction,,,,,,4.11,,"['Business', 'Leadership', 'Nonfiction', 'Self Help', 'Buisness', 'Management', 'Personal Development', 'Entrepreneurship', 'Audiobook', 'Finance']",,Harper Business,2001-10-16,,['Audie Award for Business/Educational (2006)'],131456.0,95.0,9.91,,,,
Good to Great: Why Some Companies Make the Leap and Others Don't,Jim Collins,4.5,3457,14,2012-01-01,Non Fiction,,,,,,4.11,,"['Business', 'Leadership', 'Nonfiction', 'Self Help', 'Buisness', 'Management', 'Personal Development', 'Entrepreneurship', 'Audiobook', 'Finance']",,Harper Business,2001-10-16,,['Audie Award for Business/Educational (2006)'],131456.0,95.0,9.91,,,,
Goodnight Moon,Margaret Wise Brown,4.8,8837,5,2017-01-01,Fiction,,,,,,4.28,Over the Moon #2,"['Childrens', 'Picture Books', 'Classics', 'Fiction', 'Poetry', 'Kids', 'Animals', 'Juvenile', 'Young Adult', 'Storytime']",60th Anniversary Edition,HarperCollins,2007-01-23,2047-09-03,[],305442.0,94.0,5.69,,,,
Goodnight Moon,Margaret Wise Brown,4.8,8837,5,2018-01-01,Fiction,,,,,,4.28,Over the Moon #2,"['Childrens', 'Picture Books', 'Classics', 'Fiction', 'Poetry', 'Kids', 'Animals', 'Juvenile', 'Young Adult', 'Storytime']",60th Anniversary Edition,HarperCollins,2007-01-23,2047-09-03,[],305442.0,94.0,5.69,,,,
Goodnight Moon,Margaret Wise Brown,4.8,8837,5,2019-01-01,Fiction,,,,,,4.28,Over the Moon #2,"['Childrens', 'Picture Books', 'Classics', 'Fiction', 'Poetry', 'Kids', 'Animals', 'Juvenile', 'Young Adult', 'Storytime']",60th Anniversary Edition,HarperCollins,2007-01-23,2047-09-03,[],305442.0,94.0,5.69,,,,
Guts,Raina Telgemeier,4.8,5476,7,2019-01-01,Non Fiction,,,,,,4.37,Smile #3,"['Graphic Novels', 'Middle Grade', 'Memoir', 'Comics', 'Childrens', 'Mental Health', 'Nonfiction', 'Realistic Fiction', 'Juvenile', 'Graphic Novels Comics']",,Scholastic,2019-09-17,,"[""Goodreads Choice Award Nominee for Middle Grade & Children's (2019)""]",26681.0,97.0,,,,,
Hamilton: The Revolution,Lin-Manuel Miranda,4.9,5867,54,2016-01-01,Non Fiction,,,,,,4.46,,"['Nonfiction', 'History', 'Plays', 'Audiobook', 'Music', 'Historical', 'Theatre', 'Biography', 'Adult', 'Drama']",,Grand Central Publishing,2016-04-12,2015-08-06,"['Audie Award for Audiobook of the Year (2017)', 'Goodreads Choice Award for Nonfiction (2016)']",44845.0,96.0,11.16,2017-01-29,culture,0.0,0.0
Harry Potter Paperback Box Set (Books 1-7),J. K. Rowling,4.8,13471,52,2016-01-01,Fiction,,,,,,4.73,Harry Potter #1-7,"['Fantasy', 'Young Adult', 'Fiction', 'Magic', 'Adventure', 'Childrens', 'Classics', 'Science Fiction Fantasy', 'Middle Grade', 'Novels']",,Arthur A. Levine Books,2007-10-01,,"[""Mythopoeic Fantasy Award for Children's Literature (2008)""]",251756.0,98.0,77.25,2015-05-03,series-books,0.0,320.0
Have a Little Faith: A True Story,Mitch Albom,4.8,1930,4,2009-01-01,Non Fiction,,,,,,4.17,,"['Nonfiction', 'Inspirational', 'Religion', 'Spirituality', 'Memoir', 'Faith', 'Biography', 'Christian', 'Adult', 'Contemporary']",,Hachette Books,2009-09-29,,[],75030.0,96.0,3.13,2010-03-14,hardcover-nonfiction,23.99,22.0
How to Win Friends & Influence People,Dale Carnegie,4.7,25001,11,2014-01-01,Non Fiction,,,,,,4.2,,"['Nonfiction', 'Self Help', 'Business', 'Psychology', 'Personal Development', 'Leadership', 'Classics', 'Communication', 'Audiobook', 'Relationships']",Special Anniversary Edition,Gallery Books,1998-10-01,2036-10-28,[],611358.0,94.0,,,,,
How to Win Friends & Influence People,Dale Carnegie,4.7,25001,11,2015-01-01,Non Fiction,,,,,,4.2,,"['Nonfiction', 'Self Help', 'Business', 'Psychology', 'Personal Development', 'Leadership', 'Classics', 'Communication', 'Audiobook', 'Relationships']",Special Anniversary Edition,Gallery Books,1998-10-01,2036-10-28,[],611358.0,94.0,,,,,
How to Win Friends & Influence People,Dale Carnegie,4.7,25001,11,2016-01-01,Non Fiction,,,,,,4.2,,"['Nonfiction', 'Self Help', 'Business', 'Psychology', 'Personal Development', 'Leadership', 'Classics', 'Communication', 'Audiobook', 'Relationships']",Special Anniversary Edition,Gallery Books,1998-10-01,2036-10-28,[],611358.0,94.0,,,,,
How to Win Friends & Influence People,Dale Carnegie,4.7,25001,11,2017-01-01,Non Fiction,,,,,,4.2,,"['Nonfiction', 'Self Help', 'Business', 'Psychology', 'Personal Development', 'Leadership', 'Classics', 'Communication', 'Audiobook', 'Relationships']",Special Anniversary Edition,Gallery Books,1998-10-01,2036-10-28,[],611358.0,94.0,,,,,
How to Win Friends & Influence People,Dale Carnegie,4.7,25001,11,2018-01-01,Non Fiction,,,,,,4.2,,"['Nonfiction', 'Self Help', 'Business', 'Psychology', 'Personal Development', 'Leadership', 'Classics', 'Communication', 'Audiobook', 'Relationships']",Special Anniversary Edition,Gallery Books,1998-10-01,2036-10-28,[],611358.0,94.0,,,,,
Humans of New York,Brandon Stanton,4.8,3490,15,2013-01-01,Non Fiction,,,,,,4.48,,"['Nonfiction', 'Photography', 'Art', 'New York', 'Adult', 'Biography', 'Travel', 'Art and Photography', 'Inspirational', 'American']",,St. Martin's Press,2013-10-15,,[],16332.0,98.0,7.27,2017-01-29,travel,0.0,0.0
Humans of New York,Brandon Stanton,4.8,3490,15,2014-01-01,Non Fiction,,,,,,4.48,,"['Nonfiction', 'Photography', 'Art', 'New York', 'Adult', 'Biography', 'Travel', 'Art and Photography', 'Inspirational', 'American']",,St. Martin's Press,2013-10-15,,[],16332.0,98.0,7.27,2017-01-29,travel,0.0,0.0
Humans of New York : Stories,Brandon Stanton,4.9,2812,17,2015-01-01,Non Fiction,,,,,,4.54,,"['Nonfiction', 'Photography', 'Art', 'Biography', 'Adult', 'New York', 'Short Stories', 'Inspirational', 'Sociology', 'Memoir']",,St. Martin's Press,2015-10-13,,"['ALA Alex Award (2016)', 'Goodreads Choice Award Nominee for Nonfiction (2015)']",16469.0,97.0,4.55,2017-01-29,travel,0.0,0.0
"I, Alex Cross",James Patterson,4.6,1320,7,2009-01-01,Fiction,,,,,,4.01,Alex Cross #16,"['Mystery', 'Fiction', 'Thriller', 'Crime', 'Suspense', 'Mystery Thriller', 'Detective', 'Adult', 'Murder Mystery', 'Audiobook']",First Edition,Little Brown and Company,2009-11-16,,[],37317.0,95.0,3.76,2010-01-24,hardcover-fiction,27.99,8.0
If I Stay,Gayle Forman,4.3,7153,9,2014-01-01,Fiction,,,,,,3.94,If I Stay #1,"['Young Adult', 'Romance', 'Contemporary', 'Fiction', 'Realistic Fiction', 'Teen', 'Music', 'Death', 'Audiobook', 'Young Adult Contemporary']",,Dutton Books for Young Readers,2009-04-02,,"['Georgia Peach Book Award Nominee for Honor book (2010)', 'South Carolina Book Award Nominee for Young Adult Book Award (2011)', 'Blue Hen Book Award for Teen Readers (2011)', ""Pennsylvania Young Readers' Choice Award Nominee (2011)"", 'Milwaukee County Teen Book Award Nominee (2010)', 'Florida Teens Read Nominee (2010)', 'The Inky Awards Nominee for Silver Inky (2009)', 'California Young Readers Medal Nominee for Young Adult (2012)', 'Lincoln Award Nominee (2012)', ""NAIBA Book of the Year for Children's Literature (2009)"", 'Goodreads Choice Award Nominee for Young Adult Fiction (2009)', 'Carnegie Medal Nominee (2010)', 'Missouri Gateway Readers Award Nominee (2012)']",712350.0,91.0,3.82,,,,
Inheritance: Book IV (Inheritance Cycle),Christopher Paolini,4.6,5299,20,2011-01-01,Fiction,,,,,,4.1,The Inheritance Cycle #4,"['Fantasy', 'Young Adult', 'Dragons', 'Fiction', 'Magic', 'Adventure', 'High Fantasy', 'Epic Fantasy', 'Young Adult Fantasy', 'Science Fiction Fantasy']",First Edition,Alfred A. Knopf,2011-11-08,,['Premio El Templo de las Mil Puertas Nominee for Mejor novela extranjera perteneciente a saga (2011)'],213855.0,92.0,8.11,2012-03-25,series-books,0.0,39.0
Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,4.9,19576,8,2011-01-01,Non Fiction,,,,,,4.5,,"['Christian', 'Nonfiction', 'Faith', 'Religion', 'Spirituality', 'Christianity', 'Inspirational', 'Christian Living', 'Christian Non Fiction', 'Theology']",,Thomas Nelson,2004-10-10,2003-09-30,[],55591.0,95.0,3.94,2015-09-27,religion-spirituality-and-faith,0.0,0.0
Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,4.9,19576,8,2012-01-01,Non Fiction,,,,,,4.5,,"['Christian', 'Nonfiction', 'Faith', 'Religion', 'Spirituality', 'Christianity', 'Inspirational', 'Christian Living', 'Christian Non Fiction', 'Theology']",,Thomas Nelson,2004-10-10,2003-09-30,[],55591.0,95.0,3.94,2015-09-27,religion-spirituality-and-faith,0.0,0.0
Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,4.9,19576,8,2013-01-01,Non Fiction,,,,,,4.5,,"['Christian', 'Nonfiction', 'Faith', 'Religion', 'Spirituality', 'Christianity', 'Inspirational', 'Christian Living', 'Christian Non Fiction', 'Theology']",,Thomas Nelson,2004-10-10,2003-09-30,[],55591.0,95.0,3.94,2015-09-27,religion-spirituality-and-faith,0.0,0.0
Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,4.9,19576,8,2014-01-01,Non Fiction,,,,,,4.5,,"['Christian', 'Nonfiction', 'Faith', 'Religion', 'Spirituality', 'Christianity', 'Inspirational', 'Christian Living', 'Christian Non Fiction', 'Theology']",,Thomas Nelson,2004-10-10,2003-09-30,[],55591.0,95.0,3.94,2015-09-27,religion-spirituality-and-faith,0.0,0.0
Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,4.9,19576,8,2015-01-01,Non Fiction,,,,,,4.5,,"['Christian', 'Nonfiction', 'Faith', 'Religion', 'Spirituality', 'Christianity', 'Inspirational', 'Christian Living', 'Christian Non Fiction', 'Theology']",,Thomas Nelson,2004-10-10,2003-09-30,[],55591.0,95.0,3.94,2015-09-27,religion-spirituality-and-faith,0.0,0.0
Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,4.9,19576,8,2016-01-01,Non Fiction,,,,,,4.5,,"['Christian', 'Nonfiction', 'Faith', 'Religion', 'Spirituality', 'Christianity', 'Inspirational', 'Christian Living', 'Christian Non Fiction', 'Theology']",,Thomas Nelson,2004-10-10,2003-09-30,[],55591.0,95.0,3.94,2015-09-27,religion-spirituality-and-faith,0.0,0.0
Killers of the Flower Moon: The Osage Murders and the Birth of the FBI,David Grann,4.6,8393,17,2017-01-01,Non Fiction,,,,,,4.07,,"['Nonfiction', 'History', 'True Crime', 'Crime', 'Mystery', 'Audiobook', 'Historical', 'American History', 'Book Club', 'Adult']",,Doubleday,2017-04-18,,"['Anthony Award for Best Critical/NonFiction Work (2018)', 'Edgar Award for Best Fact Crime (2018)', 'Andrew Carnegie Medal Nominee for Nonfiction (2018)', 'National Book Award Finalist for Nonfiction (2017)', 'Spur Award for Best Western Historical Nonfiction (2018)', 'Goodreads Choice Award Nominee for History & Biography (2017)', 'Brooklyn Public Library Literary Prize Nominee for Nonfiction (2017)']",127328.0,95.0,10.53,,,,
Killing Jesus (Bill O'Reilly's Killing Series),Bill O'Reilly,4.5,11391,12,2013-01-01,Non Fiction,,,,,,3.94,Bill O'Reilly's Killing Series,"['History', 'Nonfiction', 'Religion', 'Biography', 'Christian', 'Historical', 'Audiobook', 'Christianity', 'Faith', 'Adult']",,Henry Holt and Co.,2013-09-24,,['Goodreads Choice Award Nominee for History & Biography (2013)'],30969.0,92.0,1.05,2015-04-26,religion-spirituality-and-faith,0.0,0.0
Kitchen Confidential Updated Edition: Adventures in the Culinary Underbelly (P.S.),Anthony Bourdain,4.8,2507,8,2018-01-01,Non Fiction,,,,,,4.08,,"['Nonfiction', 'Food', 'Memoir', 'Biography', 'Cooking', 'Audiobook', 'Autobiography', 'Biography Memoir', 'Humor', 'Foodie']",Updated Edition,Ecco/Harper Perennial,2007-01-09,2000-05-22,[],226798.0,95.0,9.72,2018-11-04,paperback-nonfiction,0.0,55.0
Liberty and Tyranny: A Conservative Manifesto,Mark R. Levin,4.8,3828,15,2009-01-01,Non Fiction,,,,,,4.17,,"['Politics', 'Nonfiction', 'History', 'Philosophy', 'Political Science', 'Economics', 'American History', 'Government', 'American', 'Audiobook']",,Threshold Editions,2009-03-24,2004-06-30,[],7244.0,92.0,3.28,,,,
Little Fires Everywhere,Celeste Ng,4.5,25706,12,2018-01-01,Fiction,,,,,,4.1,,"['Fiction', 'Contemporary', 'Audiobook', 'Adult', 'Adult Fiction', 'Literary Fiction', 'Book Club', 'Novels', 'Family', 'Realistic Fiction']",Movie Tie-In,Penguin Books,2020-03-17,2017-09-12,"['Goodreads Choice Award for Fiction (2017) and Nominee for Best of the Best  (2018)', 'NAACP Image Award Nominee for Fiction (2018)', 'Book of the Month Book of the Year Award Nominee (2017)']",712854.0,96.0,4.59,,,,
Looking for Alaska,John Green,4.5,8491,7,2014-01-01,Fiction,,,,,,4.02,,"['Young Adult', 'Fiction', 'Contemporary', 'Romance', 'Realistic Fiction', 'Coming Of Age', 'Teen', 'Mystery', 'Young Adult Contemporary', 'High School']",,Speak,2006-12-28,2005-03-03,"['Los Angeles Times Book Prize Nominee for Young Adult Fiction (2005)', 'Michael L. Printz Award (2006)', 'Rhode Island Teen Book Award Nominee (2007)', 'Michigan Library Association Thumbs Up! Award Nominee (2006)', 'Deutscher Jugendliteraturpreis Nominee for Jugendbuch (2008)', 'The Inky Awards for Silver Inky (2007)', 'Lincoln Award Nominee (2009)', 'Bronzener Lufti (2007)', 'Green Mountain Book Award (2008)', 'The Inky Awards Shortlist for Silver Inky (2007)', 'Alabama Author Award for Young Adult (2006)', 'Premio El Templo de las Mil Puertas Nominee for Mejor novela extranjera independiente (2014)']",1113222.0,91.0,,,,,
"Love Wins: A Book About Heaven, Hell, and the Fate of Every Person Who Ever Lived",Rob Bell,4.2,1649,13,2011-01-01,Non Fiction,,,,,,3.6,,"['Nonfiction', 'Theology', 'Religion', 'Christian', 'Christianity', 'Spirituality', 'Faith', 'Philosophy', 'Christian Living', 'Audiobook']",,HarperOne,2011-03-15,2011-01-01,[],24235.0,81.0,,,,,
Love You Forever,Robert Munsch,4.8,18613,5,2014-01-01,Fiction,,,,,,4.36,,"['Picture Books', 'Childrens', 'Fiction', 'Classics', 'Family', 'Love', 'Kids', 'Realistic Fiction', 'Canada', 'Juvenile']",,Firefly Books,1995-09-01,1986-01-01,[],202401.0,92.0,3.46,,,,
Love You Forever,Robert Munsch,4.8,18613,5,2015-01-01,Fiction,,,,,,4.36,,"['Picture Books', 'Childrens', 'Fiction', 'Classics', 'Family', 'Love', 'Kids', 'Realistic Fiction', 'Canada', 'Juvenile']",,Firefly Books,1995-09-01,1986-01-01,[],202401.0,92.0,3.46,,,,
Make Your Bed: Little Things That Can Change Your Life...And Maybe the World,Admiral William H. McRaven,4.7,10199,11,2017-01-01,Non Fiction,,,,,,3.99,,"['Nonfiction', 'Self Help', 'Personal Development', 'Audiobook', 'Leadership', 'Business', 'Military Fiction', 'Memoir', 'Psychology', 'Biography']",,Grand Central Publishing,2017-04-04,,[],62247.0,90.0,,,,,
"Mastering the Art of French Cooking, Vol. 2",Julia Child,4.8,2926,27,2009-01-01,Non Fiction,,,,,,4.28,Mastering the Art of French Cooking #1,"['Cookbooks', 'Cooking', 'Food', 'Nonfiction', 'Reference', 'France', 'Culinary', 'Foodie', 'Classics', 'Food and Drink']",,Knopf Publishing Group,2001-10-16,2061-11-06,[],48185.0,94.0,22.07,2010-03-07,hardcover-advice,40.0,22.0
Milk and Honey,Rupi Kaur,4.7,17739,8,2016-01-01,Non Fiction,,,,,,4.07,,"['Poetry', 'Feminism', 'Nonfiction', 'Contemporary', 'Adult', 'Romance', 'Audiobook', 'Mental Health', 'Canada', 'Womens']",,Createspace,2014-11-04,,[],345201.0,89.0,11.36,,,,
Milk and Honey,Rupi Kaur,4.7,17739,8,2017-01-01,Non Fiction,,,,,,4.07,,"['Poetry', 'Feminism', 'Nonfiction', 'Contemporary', 'Adult', 'Romance', 'Audiobook', 'Mental Health', 'Canada', 'Womens']",,Createspace,2014-11-04,,[],345201.0,89.0,11.36,,,,
Milk and Honey,Rupi Kaur,4.7,17739,8,2018-01-01,Non Fiction,,,,,,4.07,,"['Poetry', 'Feminism', 'Nonfiction', 'Contemporary', 'Adult', 'Romance', 'Audiobook', 'Mental Health', 'Canada', 'Womens']",,Createspace,2014-11-04,,[],345201.0,89.0,11.36,,,,
Mindset: The New Psychology of Success,Carol S. Dweck,4.6,5542,10,2014-01-01,Non Fiction,,,,,,4.06,,"['Psychology', 'Nonfiction', 'Self Help', 'Business', 'Education', 'Personal Development', 'Parenting', 'Leadership', 'Teaching', 'Productivity']",,Random House,2006-02-28,2006-10-28,[],88388.0,93.0,,,,,
Mindset: The New Psychology of Success,Carol S. Dweck,4.6,5542,10,2015-01-01,Non Fiction,,,,,,4.06,,"['Psychology', 'Nonfiction', 'Self Help', 'Business', 'Education', 'Personal Development', 'Parenting', 'Leadership', 'Teaching', 'Productivity']",,Random House,2006-02-28,2006-10-28,[],88388.0,93.0,,,,,
Mindset: The New Psychology of Success,Carol S. Dweck,4.6,5542,10,2016-01-01,Non Fiction,,,,,,4.06,,"['Psychology', 'Nonfiction', 'Self Help', 'Business', 'Education', 'Personal Development', 'Parenting', 'Leadership', 'Teaching', 'Productivity']",,Random House,2006-02-28,2006-10-28,[],88388.0,93.0,,,,,
Mockingjay (The Hunger Games),Suzanne Collins,4.5,26741,8,2010-01-01,Fiction,,,,,,4.04,The Hunger Games #3,"['Young Adult', 'Dystopia', 'Fiction', 'Fantasy', 'Science Fiction', 'Romance', 'Adventure', 'Teen', 'Post Apocalyptic', 'Science Fiction Fantasy']",First Edition,Scholastic Press,2010-08-24,,"['Locus Award Nominee for Best Young Adult Book (2011)', ""Children's Choice Book Award Nominee for Teen Choice Book of the Year (2011)"", 'Andre Norton Award Nominee (2010)', 'DABWAHA Romance Tournament for Best Young Adult Romance (2011)', 'Goodreads Choice Award for Favorite Book and for Young Adult Fantasy (2010)']",2348368.0,93.0,3.43,2014-03-02,series-books,0.0,182.0
Mockingjay (The Hunger Games),Suzanne Collins,4.5,26741,8,2011-01-01,Fiction,,,,,,4.04,The Hunger Games #3,"['Young Adult', 'Dystopia', 'Fiction', 'Fantasy', 'Science Fiction', 'Romance', 'Adventure', 'Teen', 'Post Apocalyptic', 'Science Fiction Fantasy']",First Edition,Scholastic Press,2010-08-24,,"['Locus Award Nominee for Best Young Adult Book (2011)', ""Children's Choice Book Award Nominee for Teen Choice Book of the Year (2011)"", 'Andre Norton Award Nominee (2010)', 'DABWAHA Romance Tournament for Best Young Adult Romance (2011)', 'Goodreads Choice Award for Favorite Book and for Young Adult Fantasy (2010)']",2348368.0,93.0,3.43,2014-03-02,series-books,0.0,182.0
