title,amazon_author,amazon_rating,amazon_num_reviews,amazon_price,amazon_year,amazon_genre,conlit_genre,conlit_pubdate,conlit_author_gender,conlit_author_nationality,conlit_total_ratings,goodreads_rating,goodreads_series,goodreads_genres,goodreads_edition,goodreads_publisher,goodreads_publish_date,goodreads_first_publish_date,goodreads_awards,goodreads_num_ratings,goodreads_likedPercent,goodreads_price,nyt_published_date,nyt_list_name_encoded,nyt_price,nyt_weeks_on_list
Cutting for Stone,Abraham Verghese,4.6,4866,11,2010-01-01,Fiction,BS,2009-01-01,M,Ethiopia/US,355095.0,4.29,,"['Fiction', 'Historical Fiction', 'Africa', 'Book Club', 'Medicine', 'Ethiopia', 'Medical', 'Novels', 'Literary Fiction', 'Historical']",First Edition,Alfred A. Knopf,2009-02-03,2009-10-28,"['PEN/Hemingway Foundation Award Nominee (2010)', 'Exclusive Books Boeke Prize Nominee (2011)', 'Indies Choice Book Award for Adult Fiction (2010)', 'Dayton Literary Peace Prize Nominee for Fiction (2010)', 'Wellcome Book Prize Nominee for Shortlist (2009)', 'Goodreads Choice Award Nominee for Fiction (2009)']",336889.0,95.0,5.26,,,,
Cutting for Stone,Abraham Verghese,4.6,4866,11,2011-01-01,Fiction,BS,2009-01-01,M,Ethiopia/US,355095.0,4.29,,"['Fiction', 'Historical Fiction', 'Africa', 'Book Club', 'Medicine', 'Ethiopia', 'Medical', 'Novels', 'Literary Fiction', 'Historical']",First Edition,Alfred A. Knopf,2009-02-03,2009-10-28,"['PEN/Hemingway Foundation Award Nominee (2010)', 'Exclusive Books Boeke Prize Nominee (2011)', 'Indies Choice Book Award for Adult Fiction (2010)', 'Dayton Literary Peace Prize Nominee for Fiction (2010)', 'Wellcome Book Prize Nominee for Shortlist (2009)', 'Goodreads Choice Award Nominee for Fiction (2009)']",336889.0,95.0,5.26,,,,
"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",Brené Brown,4.8,1329,10,2013-01-01,Non Fiction,MIX,2012-01-01,F,,173096.0,4.26,,"['Nonfiction', 'Self Help', 'Psychology', 'Personal Development', 'Audiobook', 'Leadership', 'Parenting', 'Business', 'Spirituality', 'Relationships']",,Avery,2012-09-11,,[],129648.0,95.0,10.59,2015-03-29,relationships,0.0,0.0
"Dead Reckoning (Sookie Stackhouse/True Blood, Book 11)",Charlaine Harris,4.2,2094,4,2011-01-01,Fiction,BS,2011-01-01,F,US,122102.0,3.79,Sookie Stackhouse #11,"['Fantasy', 'Vampires', 'Paranormal', 'Urban Fantasy', 'Fiction', 'Romance', 'Mystery', 'Paranormal Romance', 'Supernatural', 'Adult']",,"Gollancz, Victor Limited",2011-05-28,2011-05-03,['Goodreads Choice Award Nominee for Paranormal Fantasy and for Favorite Book (2011)'],117025.0,91.0,,,,,
"Dead Reckoning (Sookie Stackhouse/True Blood, Book 11)",Charlaine Harris,4.2,2094,4,2011-01-01,Fiction,BS,2011-01-01,F,US,122102.0,3.8,,[],,,,,[],,,,,,,
Decision Points,George W. Bush,4.6,2137,17,2010-01-01,Non Fiction,MEM,2010-01-01,M,,39668.0,3.79,,"['Biography', 'Nonfiction', 'Politics', 'History', 'Memoir', 'Presidents', 'Autobiography', 'American History', 'Biography Memoir', 'Leadership']",,Crown,2010-11-09,2010-01-01,['Goodreads Choice Award Nominee for Memoir and Autobiography (2010)'],36679.0,90.0,2.7,2011-03-13,hardcover-nonfiction,35.0,16.0
"Delivering Happiness: A Path to Profits, Passion, and Purpose",Tony Hsieh,4.6,1651,15,2010-01-01,Non Fiction,MEM,2010-01-01,M,,70008.0,4.01,,"['Business', 'Nonfiction', 'Leadership', 'Entrepreneurship', 'Biography', 'Management', 'Self Help', 'Buisness', 'Personal Development', 'Audiobook']",,Grand Central Publishing,2010-06-07,2010-01-01,['Goodreads Choice Award Nominee for Nonfiction (2010)'],61870.0,90.0,3.12,2010-12-19,hardcover-advice,23.99,26.0
Doctor Sleep: A Novel,Stephen King,4.7,15845,13,2013-01-01,Fiction,BS,2011-01-01,M,US,228106.0,4.12,The Shining #2,"['Horror', 'Fiction', 'Thriller', 'Fantasy', 'Paranormal', 'Audiobook', 'Supernatural', 'Mystery', 'Suspense', 'Adult']",,Scribner,2013-09-24,,"['Bram Stoker Award for Best Novel (2013)', 'Locus Award Nominee for Best Fantasy Novel (2014)', 'ITW Thriller Award Nominee for Best Hardcover Novel (2014)', 'Audie Award for Fiction (2014)', 'Goodreads Choice Award for Horror (2013)', 'This is Horror Award for Novel (2013)']",196078.0,95.0,5.58,2014-01-12,hardcover-fiction,0.0,14.0
"Dog Days (Diary of a Wimpy Kid, Book 4) (Volume 4)",Jeff Kinney,4.8,3181,12,2009-01-01,Fiction,MID,2009-01-01,M,,135915.0,4.17,Diary of a Wimpy Kid #4,"['Humor', 'Fiction', 'Realistic Fiction', 'Childrens', 'Middle Grade', 'Graphic Novels', 'Young Adult', 'Comedy', 'Comics', 'Diary']",,Amulet Books,2009-10-12,,"[""Goodreads Choice Award for Children's Book (2009)""]",117764.0,93.0,1.45,,,,
Fifty Shades Darker,E L James,4.4,23631,7,2012-01-01,Fiction,BS,2012-01-01,F,UK,822304.0,3.84,Fifty Shades #2,"['Romance', 'Erotica', 'Fiction', 'BDSM', 'Adult', 'Contemporary', 'Contemporary Romance', 'Chick Lit', 'Erotic Romance', 'Adult Fiction']",First Edition,The Writer's Coffee Shop Publishing House,2011-09-16,2011-09-13,[],745051.0,84.0,6.33,,,,
